id,organization_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,fees_description,wait_time,accreditations,eligibility_description,minimum_age,maximum_age,required_documents,notes
service_4012,a7d72778-283b-32aa-c60d-c7f49091c786,Transitional Housing Program,,"The transitional housing programs available for families experiencing homelessness, assist them in developing and strengthening skills to acquire and maintain permanent housing. 

Helping with barriers such as:
- Behavioral health therapy
- Substance use 
- Domestic violence
- Immigration
- Life skills building

Transitional Housing offers private living accommodations and comprehensive support services for 20 families for up to 12 months. 
- Employment 
- Education
- Financial literacy
- Parenting education
",https://hamiltonfamilies.org/transitional-housing,contact-us@hamiltonfamilies.org,approved,,"Visit a coordinated entry access point. Go here for more information
https://www.sf.gov/resource--2024--get-person-homelessness-help-san-francisco

Then, at the Access Point, a “Housing Problem Solving Specialist”  will talk with you about your family’s situation and find the best option available. If you qualify, you can receive referrals to programs providing rental subsidies, transitional housing, or permanent supportive housing.

Go here for more:
https://hamiltonfamilies.org/get-help",No Cost,,,Near Homeless; Home Renters; Families with children below 18 years old; San Francisco Residents; Domestic Violence Survivors; Substance Dependency; Sexual Assault Survivors,,,"Visit a coordinated entry access point. Go here for more information
https://www.sf.gov/resource--2024--get-person-homelessness-help-san-francisco

Then, at the Access Point, a “Housing Problem Solving Specialist”  will talk with you about your family’s situation and find the best option available. If you qualify, you can receive referrals to programs providing rental subsidies, transitional housing, or permanent supportive housing.

Go here for more:
https://hamiltonfamilies.org/get-help","If you are a family with a child who is in need of immediate housing assistance, visit:  hamiltonfamilies.org/get-help. "
service_208,a7d72778-283b-32aa-c60d-c7f49091c786,Hamilton Family Shelter Program ,,"The shelter offers a safe place to sleep, three meals a day, and critical social services.

Families can receive 
- site case management
- housing search assistance
- income planning
- parenting services
- mental health support
- substance use recovery",https://hamiltonfamilies.org/shelter,contact-us@hamiltonfamilies.org,approved,"For services in spanish: 
https://hamiltonfamilies.org/es/obtenga-ayuda","Shelter Location: 260 Golden Gate AveSan Francisco, CA 94102
Phone Number: (415) 321-2612",,,,Experiencing Homelessness; Families with children below 18 years old; I live with someone under 18 years of age,,,,
service_788,31227b11-3237-281f-fc85-7ca728420c10,Supportive Housing,,"Conard House operates and provides social services at 10 residential hotels and 22 private apartments scattered across San Francisco. All Supportive Housing residents have access to a compassionate community of: 
- Therapists
- Case Managers/Social Workers
- Health Navigators
- Financial Budget Counselors
- Digital Educators
- Job Counselors
- 24-Hour Desk Clerks
- Property Managers
- Administrators

These Supportive Housing (SH) communities provide homes for 730 people with mental health conditions. Often times, such conditions are exacerbated by chronic medical ailments and/or substance use. One of the SH sites offers a 2 year transitional program as a bridge often from residential treatment to independent living. Residents would be homeless or at risk of being homeless without the daily resources Conard House provides. These resources extend over and above affordable housing. ",https://conardhouse.org/programs,admin@conard.org,approved,,"See [here](https://img1.wsimg.com/blobby/go/c297f86a-7363-48df-b6bc-c9f8e796dbae/downloads/Conard%20House%20Supportive%20Housing%20Program%20Applic.pdf?ver=1641423133922) for the full Application Process.

For Housing referral information for the **Aranda, Allen, McAllister, Lyric and Plaza**, please contact the Adult Coordinated Entry Access Points. Access Points provide problem solving, assessment, prioritization, and referral to housing and other community services for San Francisco adults experiencing homelessness.

Adults over the age of 18 without minor children who are experiencing or at risk of homelessness can call (415) 487-3300 extension 7000 to reach the following Access Points:

- Episcopal Community Services – 123 10th Street (at Mission)
Monday, Tuesday, Thursday & Friday:
9AM – 4:30PM
Wednesday:
9AM – 12PM 

- United Council of Human Services – 2111 Jennings Street (at Van Dyke)
Monday to Friday:
9AM – 12PM 

For Housing referral information for the **Midori, El Dorado, Washburn, or Cooperative Apartments**, please have your provider, such as a case manager, therapist, doctor, etc., complete a Behavioral Health Services (BHS) Placement Team referral. Please contact **Conard House’s intake coordinator at (415) 864-7359.**
Contact the San Francisco **Mental Health access line at (415) 255-3737** to get connected with a provider who can assist you.

For Housing information for the **Jordan Apartments**, contact the **Property Management Department at (415) 346-5860.**
- The Jordan Apartments is currently not accepting applications. ",,,,Experiencing Homelessness; Transitional Aged Youth (TAY); San Francisco Residents,,,,
service_616,1e8b0653-cb30-3202-96a2-621dd1885323,Anti-Trafficking Program,,"The Anti-Trafficking Program provides comprehensive, survivor-centered support for individuals who have experienced labor or sex trafficking. Services are designed to help survivors achieve safety, stability, and long-term independence through culturally responsive and trauma-informed care.

Support may include individualized case management, safety planning, emergency assistance, advocacy, referrals to medical and mental health services, immigration support, housing resources, legal referrals, and connections to community services. Asian Women's Shelter provides services in 41 languages to ensure survivors can access assistance in a linguistically and culturally appropriate environment.

The service provides trafficked people with the following legal and social services:
- Legal Assistance
- Assistance with VISA
- Shelter
- Case management
- Interpretation
- Advocacy
- Independent living skills ",https://www.sfaws.org/resources,info@sfaws.org,approved,"We provide services in 41 languages, including:
Arabic, Bengali, Burmese, Cantonese, Chao-Shou, Dutch, Farsi, French, Gujarati, Hebrew, Hindi, Hmong, Hokkien, Illocano, Indonesian, Japanese, Javanese, Kannada, Khmer, Korean, Lao, Mandarin, Malay, Mon, Mongolian, Nepali, Portuguese, Punjabi, Russian, Shanghainese, Spanish, Tagalog, Taiwanese, Tamil, Telugu, Thai, Tibetan, Toisanese, Urdu, Vietnamese, Yeo Chieu
","All services are available by appointment. Call the main office at (415) 751-7110 to schedule an appointment.
For immediate crisis assistance, call the 24-hour Crisis Line at (877) 751-0880.",Free of cost,,,Women; Human Trafficking Survivors; Abuse or Neglect Survivors; Trauma Survivors; Domestic Violence Survivors; Individuals,,,,
service_5486,aa0ce564-4caa-3c27-3d4b-e74616e1e658,Urgent Accommodation Hotel Vouchers (UAV),,"Serves: Families and Pregnant People

Compass Family Services UAV Program 
For Families and Pregnant People, it's a limited self-referral program that provides immediate shelter to families experiencing a brief and quickly resolvable period of homelessness while in the process of transitioning into a housing placement. 

Please contact Compass Family Services UAV Program to inquire about room availability.
- Phone: (415) 340-0572",https://www.sf.gov/information--temporary-shelter-families-and-pregnant-people,,approved,,"Contact Compass Family Services UAV Program to inquire about room availability.
- Phone: (415) 340-0572",Free,,,Pregnant; Experiencing Homelessness; Families with children below 18 years old; Single Parent,,,,
service_5485,aa0ce564-4caa-3c27-3d4b-e74616e1e658,School Based Family Shelter Stay Over Program,,"The School Based Family Shelter Stay Over Program is a self-referral program that provides immediate shelter to families experiencing homelessness and have at least one child enrolled in San Francisco Unified School District.

Contact Mission Action for shelter placement reservation:
- Call: (415) 879-4316

Shelter Operations:
- 7 PM to 7 AM (During School Operations)
- 24 hours / 7 days a week (During School Closures and Holidays)",https://www.sf.gov/information--temporary-shelter-families-and-pregnant-people,,approved,,"To access this program, please contact Mission Action for shelter placement reservation:
- Call: (415) 879-4316",Free,,,Families with children below 18 years old; Single Parent; Experiencing Homelessness,,,Must have a child enrolled in a San Francisco United school District.,
service_4373,ea5fba68-1125-fa0f-fe64-2d00afe89037,Central City Access Point,SF Family Coordinated Entry,"Compass Central City Access Point is one of three primary entry points in the city for families experiencing or at-risk of homelessness to connect with the San Francisco's Family Coordinated Entry.

Services:
- Problem solving and planning for finding safe shelter, whether with friends or family or by accessing emergency shelter
- Intake and assessment for families who are unable to self-resolve their homelessness through problem solving
- Screening for eligibility for shelter and housing programs through SF Family Coordinated Entry Program
- Information and referrals for services in the community that benefit homeless families
",https://www.compass-sf.org/our-programs,,approved,,"How to get connected:
- In person: 37 Grove Street during operating hours to meet with an Access Point staff member for an eligibility assessment
- By phone: Call us at 415-644-0504 and follow the instructions to be directed to Central City Access Point. Calls will be returned within two business days
",,,,San Francisco Residents; Experiencing Homelessness; Near Homeless,,,,
service_36,8d654c5a-3e9e-cb74-5ac2-00c06ee26f45,Domestic Violence Emergency Shelter,,"*La Casa De Las Madres has a safe, confidentially-located emergency shelter for **women and children experiencing domestic violence** to stay for up to 8 weeks. The shelter offers the following services:*
- Onsite 24-hour staff to ensure safety and support
- Individual counseling
- Support groups
- Practical living skills development
- Resource Advocacy
- Support service referrals


The Shelter conducts intakes 24 hours a day, every day.

# **How to Apply:**
- Call the hotline phone number:
     - 877-503-1850 (for adults)
     - 877-923-0700 (for teens)
- Send a text message to 415-200-3575.

# **Open Hours:**
- Open daily 24 hours

# **Service Contact Information:**
- ***Email:*** info@lacasa.org

",https://www.lacasa.org/crisis,info@lacasa.org,approved,,"# **How to Apply:**
- Call the hotline phone number: (877) 503-1850
- Send a text message to 415-200-3575.
- Email: info@lacasa.org",,,,HIV/AIDS; Women; Abuse or Neglect Survivors; Domestic Violence Survivors; Teens (13-18 years old); Hispanic/Latinx; Youth (below 21 years old); LGBTQ+,,,,
service_3373,8848bc30-8045-abb3-3465-2d2278492d1a,Stay Over Program ,,"*Mission Action offers the Stay-over Program to **San Francisco Unified School District students and their families** who are experiencing homelessness.*
- Spanish interpretation services are available.

# **Eligibility:**
- At least one student must be attending San Francisco K-12 public schools (not including charter or private schools).

# **How to Apply:**
- Ask about availability by calling either:
     - Office phone line, 9AM to 5PM: 628-215-2080
     - Shelter phone line, 7:30PM to 7AM: 415-879-4316

# **Open Hours:**
- Monday to Friday: 7AM to 7PM
- Saturday to Sunday: open 24 hours
- SFUSD holidays: open 24 hours

",https://www.missionaction.org/our-work/housing-shelter/#stay-over,info@missionaction.org,approved,Spanish,"The program serves families who have at least one student in the San Francisco Unified School District (SFUSD) and is open from 7 a.m.-7 p.m. Monday through Friday and 24 hours Saturday, Sunday, and SFUSD Holidays. To inquire about availability, please contact: (628)215-2080 (Office Line 9 am-5 pm) or (415) 879-4316 (Shelter Line 7 pm-7 am).",,,,High School; Middle School; Families with children below 18 years old,,,,
service_2679,ea5fba68-1125-fa0f-fe64-2d00afe89037,Compass Family Resource Center,,"Compass Family Resource Center offers services that support family well-being including support groups, classes, parenting education, and case management, as well as providing basic needs items such as groceries, diapers, and hygiene supplies.

Services:
- Support groups and parent education classes available in English and Spanish, parent/child interactive groups and family activities
- Case management
- On-site child care while attending services at 37 Grove Street
- On-site mental health support and crisis counseling through Compass Behavioral Health Service

",https://www.compass-sf.org/our-programs,,approved,"- English
- Spanish","How to get connected:
- In person: 37 Grove Street during operating hours to receive drop-in services or meet with a CFRC staff member
- By phone: Call us at 415-644-0504 and follow the instructions to be directed to Compass Family Resource Center. Calls will be returned within two business days
",,,,I live with someone under 18 years of age; Families with children below 18 years old; San Francisco Residents; Unemployed; Single Parent; Adults; Homeless Youth; Experiencing Homelessness; Near Homeless,,,,
